Subject,Catalog Number,Title,Professors
AAS,101,African American Survey,"Kendra Gage, Valerie Taylor, Tyler Parry"
ACC,201,Financial Accounting,Tammy Perri
ACC,202,Managerial Accounting,Robert Cornell
ACC,400,Accounting Environment,Paulette Tandy
ACC,420,Internal Auditing,Paulette Tandy
ACC,473,Law for Accountants I,Frank Perez
ACC,600,Accounting Environment,Paulette Tandy
ACC,620,Internal Auditing,Paulette Tandy
ACC,673,Law For Accountants I,Frank Perez
ACC,705,Rsrch Methods in Federal Tax,Donald Jones
ACC,709,Systems Theory & App,Robyn Raschke
ACC,725,Mergers & Acquisitions,Kimberly Charron
ACC,789,Seminar in Acctg,Kimberly Charron
AIS,101,Intro to Asian Studies,"Edgar Weir, Walter Skya"
ANTH,101,Intro Cultural Anthro,"Pierre Lienard, Daniel Benyshek, Alecia Schrenk, Joseph Curran, Nicholas Barron, William Jankowiak"
ANTH,102,Intro to Bio Anthropology,"Brian Villmoare, Jennifer Byrnes, Alecia Schrenk"
ANTH,105,Intro World Archaeology,Karen Harry
ANTH,110L,Intr Bio Anthropology Lab,", Nikki Bennett, Aliciah Carr, Kathleen Stansbury"
ANTH,193,Data Analysis for Anth,"William Willis, Karen Harry"
ANTH,306,Contemp Chinese Society,William Jankowiak
ANTH,411,Buddhism and Culture,Jiemin Bao
ANTH,420,"Magic, Witchcraft & Religion","Nicholas Barron, Lisa Johnson, William Jankowiak"
ANTH,428,Signifying Identities,Jiemin Bao
ANTH,438,Ethno Field Methods,"Ivan Sandoval-Cervantes, Nicholas Barron"
ANTH,466,"Hum Nut: Past, Pres & Fut",Daniel Benyshek
ANTH,799,Independ Research,
ART,101,Drawing I,", Lance Smith, Kristin Hough"
ART,156,Design Fundamentals III,"Rebekah Venturini, Camilla Collier, Kendall Gonzales, "
ART,160,Art Appreciation,", Florence Baker-Wood"
ART,261,Survey of Art History II,"Susanna Newbury, Aya Mcdonald"
ART,425,Advanced Studio Practice,Catherine Angel
ART,490,Studio Internship,", Catherine Angel"
ART,495,Sp Topics Art Hist,Roxanne Farrar
ART,498,Seminar in Visual Arts,", Catherine Angel"
